db_id,tier,hinglish_input,golden_sql,generated_sql,execution_match,status
film_rank,hinglish_light,Return the chota aur bade teshimate for all film market,"SELECT Low_Estimate ,  High_Estimate FROM film_market_estimation",SELECT T1.Title FROM film AS T1 INNER JOIN film_market_estimation AS T2 ON T1.Film_ID = T2.Film_ID WHERE T2.Type = 'Chota Aur Bade Teshimate',False,SUCCESS
film_rank,hinglish_natural,Return chota aur bade teshimate for all film market,"SELECT Low_Estimate ,  High_Estimate FROM film_market_estimation","SELECT T1.Title, T2.Country, T3.Number_cities FROM film AS T1 INNER JOIN film_market_estimation AS T2 ON T1.Film_ID = T2.Film_ID INNER JOIN market AS T3 ON T2.Market_ID = T3.Market_ID WHERE T2.Type = 'Chota Aur Bade Teshimate'",False,no such column: T2.Country
film_rank,hinglish_hindi_heavy,Return the chota aur bade teshimate for all film market,"SELECT Low_Estimate ,  High_Estimate FROM film_market_estimation",SELECT T1.Title FROM film AS T1 INNER JOIN film_market_estimation AS T2 ON T1.Film_ID = T2.Film_ID WHERE T2.Type = 'Chota Aur Bade Teshimate',False,SUCCESS
loan_1,hinglish_light,Find the name aur account balance of the customer jo naam mein 'a' ka letter hai,"SELECT cust_name ,  acc_bal FROM customer WHERE cust_name LIKE '%a%","SELECT cust_name, acc_bal FROM customer WHERE cust_name LIKE '%a%'",False,SUCCESS
loan_1,hinglish_natural,"Customer ki name jisme 'a' hain, uski name aur account balance dikhaye","SELECT cust_name ,  acc_bal FROM customer WHERE cust_name LIKE '%a%","SELECT cust_name ,  acc_bal FROM customer WHERE cust_name LIKE '%a%'",False,SUCCESS
loan_1,hinglish_hindi_heavy,Customer ki name mein 'a' hain to uski name aur account balance dikhaye,"SELECT cust_name ,  acc_bal FROM customer WHERE cust_name LIKE '%a%","SELECT cust_name ,  acc_bal FROM customer WHERE cust_name LIKE '%a%'",False,SUCCESS
solvency_ii,hinglish_light,Show the names of products jo do tarah ka event mein hain,SELECT T1.Product_Name FROM Products AS T1 JOIN Products_in_Events AS T2 ON T1.Product_ID  =  T2.Product_ID GROUP BY T1.Product_Name HAVING COUNT(*)  >=  2,SELECT T3.Product_Name FROM Events AS T1 INNER JOIN Products_in_Events AS T2 ON T1.Event_ID = T2.Event_ID INNER JOIN Products AS T3 ON T2.Product_ID = T3.Product_ID WHERE T1.Event_Type_Code = 'tarah',False,SUCCESS
solvency_ii,hinglish_natural,Do tarah ka event mein hain tabka products ki names de,SELECT T1.Product_Name FROM Products AS T1 JOIN Products_in_Events AS T2 ON T1.Product_ID  =  T2.Product_ID GROUP BY T1.Product_Name HAVING COUNT(*)  >=  2,SELECT T3.Product_Name FROM Events AS T1 INNER JOIN Products_in_Events AS T2 ON T1.Event_ID = T2.Event_ID INNER JOIN Products AS T3 ON T2.Product_ID = T3.Product_ID WHERE T1.Address_ID = 1,False,SUCCESS
solvency_ii,hinglish_hindi_heavy,"products jo do tarah ka event mein hain, show names de",SELECT T1.Product_Name FROM Products AS T1 JOIN Products_in_Events AS T2 ON T1.Product_ID  =  T2.Product_ID GROUP BY T1.Product_Name HAVING COUNT(*)  >=  2,SELECT T1.Product_Name FROM Products AS T1 INNER JOIN Products_in_Events AS T2 ON T1.Product_ID = T2.Product_ID WHERE T2.Event_ID IN (SELECT Event_ID FROM Events),False,SUCCESS
sports_competition,hinglish_light,What are the names of the clubs jo mein 'Right Wing' par players hain?,"SELECT T1.name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Position  =  ""Right Wing",SELECT T1.name FROM club AS T1 INNER JOIN player AS T2 ON T1.club_id = T2.club_id WHERE T2.position = 'Right Wing',False,SUCCESS
sports_competition,hinglish_natural,Right Wing par players hain unki clubs ka naam kya hain?,"SELECT T1.name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Position  =  ""Right Wing",SELECT T1.name FROM player AS T1 INNER JOIN club AS T2 ON T1.club_id = T2.club_id WHERE T1.position = 'Right Wing',False,SUCCESS
sports_competition,hinglish_hindi_heavy,Kya right wing mein players hain unki clubs ka naam kya hain?,"SELECT T1.name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Position  =  ""Right Wing",SELECT T3.name FROM player AS T1 INNER JOIN club AS T2 ON T1.club_id = T2.club_id INNER JOIN club_rank AS T3 ON T2.club_id = T3.club_id WHERE T1.position = 'Right Wing',False,no such column: T3.name
cre_Docs_and_Epenses,hinglish_light,Count the number of budget codes.,SELECT count(*) FROM Ref_budget_codes,SELECT count(*) FROM ref_budget_codes,True,CLEAN
cre_Docs_and_Epenses,hinglish_natural,Budget codes ka count karo.,SELECT count(*) FROM Ref_budget_codes,SELECT COUNT(*) FROM Ref_Budget_Codes,True,CLEAN
cre_Docs_and_Epenses,hinglish_hindi_heavy,Count the number of budget codes roman script mein.,SELECT count(*) FROM Ref_budget_codes,SELECT COUNT(*) FROM Ref_Budget_Codes WHERE Budget_Type_Description LIKE '%Roman Script%',False,SUCCESS
flight_2,hinglish_light,Which flight numbers correspond to United Airlines flights?,"SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRLINES AS T2 ON T2.uid  =  T1.Airline WHERE T2.Airline  =  ""United Airlines",SELECT FlightNo FROM flights WHERE Airline = 'United Airlines',False,SUCCESS
flight_2,hinglish_natural,United Airlines ka which flight numbers对应哪班航班？,"SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRLINES AS T2 ON T2.uid  =  T1.Airline WHERE T2.Airline  =  ""United Airlines",SELECT T1.FlightNo FROM flights AS T1 INNER JOIN airlines AS T2 ON T1.Airline = T2.uid WHERE T2.Airline = 'United Airlines',False,SUCCESS
flight_2,hinglish_hindi_heavy,which flight numbers United Airlines ka对应 उन विमान संख्याओं को जो?,"SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRLINES AS T2 ON T2.uid  =  T1.Airline WHERE T2.Airline  =  ""United Airlines",SELECT FlightNo FROM flights WHERE Airline = 'United Airlines',False,SUCCESS
hr_1,hinglish_light,Return all information about employees ki salary 8000 se 12000 tak hai,"SELECT * FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR  department_id != 40",SELECT * FROM employees WHERE SALARY BETWEEN 8000 AND 12000,False,SUCCESS
hr_1,hinglish_natural,"उन सामग्रियों को जो कमीशन नहीं है या उनका विभाग आईडी 40 नहीं है, employee ke liye","SELECT * FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR  department_id != 40",SELECT *,False,no tables specified
hr_1,hinglish_hindi_heavy,select * from employees jinke salary 8000 se 12000 tak hain aur usne koi commission,"SELECT * FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR  department_id != 40",SELECT *,False,no tables specified
city_record,hinglish_light,What is the match id of the competition called '1994 FIFA World Cup qualification'?,"SELECT match_id FROM MATCH WHERE competition = ""1994 FIFA World Cup qualification",SELECT Match_ID FROM match WHERE Competition = '1994 FIFA World Cup qualification',False,SUCCESS
city_record,hinglish_natural,Match id kya hai '1994 FIFA World Cup qualification' ka competition mein?,"SELECT match_id FROM MATCH WHERE competition = ""1994 FIFA World Cup qualification",SELECT T2.Match_ID FROM match AS T1 INNER JOIN hosting_city AS T2 ON T1.Match_ID = T2.Match_ID WHERE T1.Competition = '1994 FIFA World Cup qualification',False,SUCCESS
city_record,hinglish_hindi_heavy,Kya match id hai competition '1994 FIFA World Cup qualification' ka?,"SELECT match_id FROM MATCH WHERE competition = ""1994 FIFA World Cup qualification",SELECT Match_ID FROM match WHERE Competition = '1994 FIFA World Cup qualification',False,SUCCESS
cre_Doc_Tracking_DB,hinglish_light,What is the kood niyaam kaunsa hai har rool ke liye,"SELECT role_code ,  count(*) FROM Employees GROUP BY role_code",SELECT Role_Code FROM Roles,False,SUCCESS
cre_Doc_Tracking_DB,hinglish_natural,Kya har rool ke liye kood kaunsa hai aur us rool mein kitne karyawans hain,"SELECT role_code ,  count(*) FROM Employees GROUP BY role_code","SELECT Role_Code, COUNT(*) FROM Employees GROUP BY Role_Code",True,CLEAN
cre_Doc_Tracking_DB,hinglish_hindi_heavy,Kya har rool ke liye kood kya hai aur us rool mein kitne karyawans hain?,"SELECT role_code ,  count(*) FROM Employees GROUP BY role_code","SELECT Role_Code, COUNT(*) FROM Employees GROUP BY Role_Code",True,CLEAN
phone_1,hinglish_light,Find the accreditation level jo peeche se 3 mobiles kaam karte hain,SELECT Accreditation_level FROM phone GROUP BY Accreditation_level HAVING count(*)  >  3,SELECT Accreditation_level FROM phone WHERE Hardware_Model_name IN (SELECT Hardware_Model_name FROM phone ORDER BY Accreditation_level ASC LIMIT 3),True,CLEAN
phone_1,hinglish_natural,3 mobiles kaam karte hain tabhi takaun shuru karein aadharit level dhundna hai,SELECT Accreditation_level FROM phone GROUP BY Accreditation_level HAVING count(*)  >  3,SELECT COUNT(*) FROM phone WHERE Accreditation_type = 'aadharit',False,SUCCESS
phone_1,hinglish_hindi_heavy,3 mobiles use karne wale ke liye aadharit level dhoondho |,SELECT Accreditation_level FROM phone GROUP BY Accreditation_level HAVING count(*)  >  3,"SELECT Accreditation_level FROM phone WHERE chip_model IN ('Galaxy S21', 'iPhone 13 Pro Max', 'Samsung Galaxy Note 20 Ultra')",False,SUCCESS
orchestra,hinglish_light,What are the names of conductors jo ek hi orchestra mein multiple baar kīya hai?,SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID HAVING COUNT(*)  >  1,SELECT DISTINCT T1.Name FROM conductor AS T1 JOIN performance AS T2 ON T1.Conductor_ID = T2.Conductor_ID GROUP BY T1.Name HAVING COUNT(T2.Performance_ID) > 1,False,no such column: T2.Conductor_ID
orchestra,hinglish_natural,Kya aapne ek hi orchestra mein multiple baar kīya hai un conductors ki names pata kar rahe hain?,SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID HAVING COUNT(*)  >  1,SELECT DISTINCT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID = T2.Conductor_ID GROUP BY T1.Name HAVING COUNT(T2.Orchestra_ID) > 1,True,CLEAN
orchestra,hinglish_hindi_heavy,Kyā aapne ek hi orkestra mein multiple baar kīya hai un conductor ki names pata kar rahe hain?,SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID HAVING COUNT(*)  >  1,SELECT DISTINCT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID = T2.Conductor_ID GROUP BY T1.Name HAVING COUNT(T2.Orchestra_ID) > 1,True,CLEAN
document_management,hinglish_light,What are the user names aur passwords of users jo sabse common role pe hain?,"SELECT user_name ,  password FROM users GROUP BY role_code ORDER BY count(*) DESC LIMIT 1","SELECT user_name, password FROM Users WHERE role_code IN (SELECT role_code FROM Roles GROUP BY role_code HAVING COUNT(*) = ( SELECT COUNT(*) FROM Roles ))",False,SUCCESS
document_management,hinglish_natural,"Kya users jo common role pe hain, unki user names aur passwords kya hain?","SELECT user_name ,  password FROM users GROUP BY role_code ORDER BY count(*) DESC LIMIT 1","SELECT user_name, password FROM Users WHERE role_code IN (SELECT role_code FROM Roles WHERE role_description = 'Common')",False,SUCCESS
document_management,hinglish_hindi_heavy,Kya user names aur passwords hain jo users ke common role pe hain?,"SELECT user_name ,  password FROM users GROUP BY role_code ORDER BY count(*) DESC LIMIT 1","SELECT DISTINCT T1.user_name, T1.password FROM Users AS T1 INNER JOIN Roles AS T2 ON T1.role_code = T2.role_code",False,SUCCESS
solvency_ii,hinglish_light,Show the product type codes jo do products se jyada hain,SELECT Product_Type_Code FROM Products GROUP BY Product_Type_Code HAVING COUNT(*)  >=  2,SELECT Product_Type_Code FROM Products GROUP BY Product_Type_Code HAVING COUNT(*) > 1,True,CLEAN
solvency_ii,hinglish_natural,दिखा दो उत्पाद प्रकार के कोड जो में दो उत्पाद से अधिक हों,SELECT Product_Type_Code FROM Products GROUP BY Product_Type_Code HAVING COUNT(*)  >=  2,SELECT Product_Type_Code FROM Products GROUP BY Product_Type_Code HAVING COUNT(*) > 1,True,CLEAN
solvency_ii,hinglish_hindi_heavy,show the product type codes jinme do products se vhi jyada hain,SELECT Product_Type_Code FROM Products GROUP BY Product_Type_Code HAVING COUNT(*)  >=  2,SELECT DISTINCT Product_Type_Code FROM Products WHERE Product_Price > 100,True,CLEAN
