db_id,english,hinglish_light,hinglish_natural,hinglish_hindi_heavy,sql
film_rank,Return the low and high estimates for all film markets.,Return the chota aur bade teshimate for all film market,Return chota aur bade teshimate for all film market,Return the chota aur bade teshimate for all film market,"SELECT Low_Estimate ,  High_Estimate FROM film_market_estimation"
loan_1,Find the name and account balance of the customer whose name includes the letter ‘a’.,Find the name aur account balance of the customer jo naam mein 'a' ka letter hai,"Customer ki name jisme 'a' hain, uski name aur account balance dikhaye",Customer ki name mein 'a' hain to uski name aur account balance dikhaye,"SELECT cust_name ,  acc_bal FROM customer WHERE cust_name LIKE '%a%"
solvency_ii,Show the names of products that are in at least two events.,Show the names of products jo do tarah ka event mein hain,Do tarah ka event mein hain tabka products ki names de,"products jo do tarah ka event mein hain, show names de",SELECT T1.Product_Name FROM Products AS T1 JOIN Products_in_Events AS T2 ON T1.Product_ID  =  T2.Product_ID GROUP BY T1.Product_Name HAVING COUNT(*)  >=  2
sports_competition,"What are the names of the clubs that have players in the position of ""Right Wing""?",What are the names of the clubs jo mein 'Right Wing' par players hain?,Right Wing par players hain unki clubs ka naam kya hain?,Kya right wing mein players hain unki clubs ka naam kya hain?,"SELECT T1.name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Position  =  ""Right Wing"
cre_Docs_and_Epenses,Count the number of budget codes.,Count the number of budget codes.,Budget codes ka count karo.,Count the number of budget codes roman script mein.,SELECT count(*) FROM Ref_budget_codes
flight_2,Which flight numbers correspond to United Airlines flights?,Which flight numbers correspond to United Airlines flights?,United Airlines ka which flight numbers对应哪班航班？,which flight numbers United Airlines ka对应 उन विमान संख्याओं को जो?,"SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRLINES AS T2 ON T2.uid  =  T1.Airline WHERE T2.Airline  =  ""United Airlines"
hr_1,Return all information about employees with salaries between 8000 and 12000 for which commission is not null or where their department id is not 40.,Return all information about employees ki salary 8000 se 12000 tak hai,"उन सामग्रियों को जो कमीशन नहीं है या उनका विभाग आईडी 40 नहीं है, employee ke liye",select * from employees jinke salary 8000 se 12000 tak hain aur usne koi commission,"SELECT * FROM employees WHERE salary BETWEEN 8000 AND 12000 AND commission_pct != ""null"" OR  department_id != 40"
city_record,"What is the match id of the competition called ""1994 FIFA World Cup qualification""?",What is the match id of the competition called '1994 FIFA World Cup qualification'?,Match id kya hai '1994 FIFA World Cup qualification' ka competition mein?,Kya match id hai competition '1994 FIFA World Cup qualification' ka?,"SELECT match_id FROM MATCH WHERE competition = ""1994 FIFA World Cup qualification"
cre_Doc_Tracking_DB,What is the code of each role and the number of employees in each role?,What is the kood niyaam kaunsa hai har rool ke liye,Kya har rool ke liye kood kaunsa hai aur us rool mein kitne karyawans hain,Kya har rool ke liye kood kya hai aur us rool mein kitne karyawans hain?,"SELECT role_code ,  count(*) FROM Employees GROUP BY role_code"
phone_1,Find the accreditation level that more than 3 phones use.,Find the accreditation level jo peeche se 3 mobiles kaam karte hain,3 mobiles kaam karte hain tabhi takaun shuru karein aadharit level dhundna hai,3 mobiles use karne wale ke liye aadharit level dhoondho |,SELECT Accreditation_level FROM phone GROUP BY Accreditation_level HAVING count(*)  >  3
orchestra,What are the names of conductors who have conducted at more than one orchestra?,What are the names of conductors jo ek hi orchestra mein multiple baar kīya hai?,Kya aapne ek hi orchestra mein multiple baar kīya hai un conductors ki names pata kar rahe hain?,Kyā aapne ek hi orkestra mein multiple baar kīya hai un conductor ki names pata kar rahe hain?,SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID HAVING COUNT(*)  >  1
document_management,What are the usernames and passwords of users that have the most common role?,What are the user names aur passwords of users jo sabse common role pe hain?,"Kya users jo common role pe hain, unki user names aur passwords kya hain?",Kya user names aur passwords hain jo users ke common role pe hain?,"SELECT user_name ,  password FROM users GROUP BY role_code ORDER BY count(*) DESC LIMIT 1"
solvency_ii,Show the product type codes that have at least two products.,Show the product type codes jo do products se jyada hain,दिखा दो उत्पाद प्रकार के कोड जो में दो उत्पाद से अधिक हों,show the product type codes jinme do products se vhi jyada hain,SELECT Product_Type_Code FROM Products GROUP BY Product_Type_Code HAVING COUNT(*)  >=  2
cre_Docs_and_Epenses,"What are the statement ids, statement details, and account details, for all accounts?","What are the statement ids, statement details, aur account details, har account ke liye?","Statement ids kya hain, statement details kya hain aur account details kya hain, sabhi accounts ke liye?","Kya statement ids hain, statement details hain aur account details hain, har account ke liye?","SELECT T1.statement_id ,  T2.statement_details ,  T1.account_details FROM Accounts AS T1 JOIN Statements AS T2 ON T1.statement_id  =  T2.statement_id"
driving_school,What are the email addresses and date of births for all customers who have a first name of Carole?,What are the email addresses aur doobaros ko dates jo sabhi customers ke liye hain jinhe first name Carole hota hai?,Kya sabhi first name Carole ke customers ki email addresses aur doobaros milenge?,Kyā sabhi first name Carole hain unke email addresses aur doobaros kya hain?,"SELECT email_address ,  date_of_birth FROM Customers WHERE first_name = ""Carole"
course_teach,What are the names of the teachers who are aged either 32 or 33?,What are the names of the teachers jaise 32 ya 33 saal ka hain?,"Kya teachers hain jo 32 ya 33 saal ki hain, unki names kya hain?",Kyi teachers ki names kya hain jo 32 ya 33 saal ki hain?,SELECT Name FROM teacher WHERE Age  =  32 OR Age  =  33
game_1,How many video games have type Massively multiplayer online game?,How many video games have type Massively multiplayer online game?,Kya kitne video game type Massively multiplayer online game hain?,Kyun kisi video game ki type Massively multiplayer online game hai?,"SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game"
college_1,What are the first names of all professors not teaching any classes?,What are the first names of all professors nahi kisi bhi class mein raho?,Kya sabhi nahi kisi class mein raho professor ki first names hain?,Kyi sabhi nahi kisi class mein raho professor ki first names kya hain?,SELECT emp_fname FROM employee WHERE emp_jobcode  =  'PROF' EXCEPT SELECT T1.emp_fname FROM employee AS T1 JOIN CLASS AS T2 ON T1.emp_num  =  T2.prof_num
university_basketball,Return the average enrollment of universities founded before 1850.,Return the average enrollment of universities founded before 1850.,1850 se pehle found kiye gaye universities ka average enrollment return karo.,1850 se pehle found kiye gaye universities ka average enrollment return karein.,SELECT avg(enrollment) FROM university WHERE founded  <  1850
party_host,How many hosts does each nationality have? List the nationality and the count.,How many hosts kisi nationality ke liye hain? List the nationality aur count,Kisi nationality ke liye kitne hosts hain? List nationality aur count,Kisi nationality ke liye kitne hosts hain? List the nationality aur count,"SELECT Nationality ,  COUNT(*) FROM HOST GROUP BY Nationality"
driving_school,"For each customer status code, how many customers are classified that way?","For each customer status code, kitne customers classified karein?",Kitne customers har customer status code par classified hain?,For each customer status code mei kitne customers classified hain?,"SELECT customer_status_code , count(*) FROM Customers GROUP BY customer_status_code;"
match_season,What are the names and capitals of each country?,What are the names aur capitals of har ek desh?,Kya har ek desh ka naam aur nagar pata chalein?,Kyun naa har ek desh ka naam aur nagar kahaani mein jaate hain?,"SELECT Country_name ,  Capital FROM country"
allergy_1,What are the average ages for male and female students?,What are the average ages of male aur female students?,Male aur female students ki average ages kya hain?,Kyun ki male aur female students ki average ages kya hain?,"SELECT avg(age) ,  sex FROM Student GROUP BY sex"
student_1,Which teachers teach in classroom 110? Give me their first names.,Which teachers teach in classroom 110?,Class 110 mein kis guruji ne shiksha kiya? Mujhe unki praanam yaad karao.,Class 110 mein kisi guruj ko shikha rahi hai? Mujhe unki pehle naam chahiye.,SELECT firstname FROM teachers WHERE classroom  =  110
dorm_1,Find the name of amenities of the dorm where the student with last name Smith is living in.,Find the name of amenities of the dorm where the student with last name Smith is living in.,Dorm mein last name Smith ka student ko pahunchne ke liye amenities ka naam pailo.,Dorm mein last name Smith ka student ko pahunchne ke liye amenities ka naam pailo. Find the name of amenities of the dorm where the student with last name Smith is living in.,SELECT T3.amenity_name FROM dorm AS T1 JOIN has_amenity AS T2 ON T1.dormid  =  T2.dormid JOIN dorm_amenity AS T3 ON T2.amenid  =  T3.amenid JOIN lives_in AS T4 ON T4.dormid  =  T1.dormid JOIN student AS T5 ON T5.stuid  =  T4.stuid WHERE T5.lname  =  'Smith
scientist_1,"What are the names of projects that require more than 300 hours, and how many scientists are assigned to each?","What are the names of projects ke jo 300 se zyada hours chahiye, aur unke pass kitne scientists hain?","Kya project names ho jo 300 hours ke zyada ka requirement hai, aur har project mein kitne scientists hain?","Kyi project names kya hongi jo 300 hours ke zyada ka need karte hain, aur har ek mein kitne scientists assign huye hain?","SELECT count(*) ,  T1.name FROM projects AS T1 JOIN assignedto AS T2 ON T1.code  =  T2.project WHERE T1.hours  >  300 GROUP BY T1.name"
allergy_1,Show the student id of the oldest student.,Show the student id of the oldest student.,Show the student id of the oldest student.,Show the student id of the oldest student.,SELECT StuID FROM Student WHERE age  =  (SELECT max(age) FROM Student)
wrestler,"Show the times of elimination by ""Punk"" or ""Orton"".",Show the times of elimination by Punk yaar ki ya Orton ki,Punk ya Orton ne times of elimination dekhiye,show times of elimination by Punk yaar ki ya Orton ki,"SELECT TIME FROM elimination WHERE Eliminated_By  =  ""Punk"" OR Eliminated_By  =  ""Orton"
college_2,What is the name of the department with the most credits?,What is the name of the department with the most credits?,Kya woh department ka naam hai jo sabse zyada credits deti hai?,Kyaa woh department ka naam hai jo sabse zyada credits deta hai?,SELECT dept_name FROM course GROUP BY dept_name ORDER BY sum(credits) DESC LIMIT 1
insurance_fnol,What are the maximum and minimum settlement amount on record?,What are the maximum aur minimum settle raha hai ki nahi kaunse cheezein mein?,Kya aap maximum aur minimum settle raha hai ki nahi ye batao cheezein mein?,Kya max aur min settle raha hai ki nahi kaunse transakshun ke baare mein?,"SELECT max(settlement_amount) ,  min(settlement_amount) FROM settlements"
world_1,"What are the population, name and leader of the country with the largest area?","What are the jamaah, naam aur chefdar wahaan jo sabse bada zameen ka hai?","Jo desh ki jamaah, naam aur chefdar kya hain jo sabse bada zameen ka hai?","Kya us desh ka jamaah, naam aur chefdar kya hain jo sabse bada zameen ka hai?","SELECT Name ,  population ,  HeadOfState FROM country ORDER BY SurfaceArea DESC LIMIT 1"
driving_school,What is the date of birth for the staff member named Janessa Sawayn?,What is the doobthi of the staff member Janessa Sawayn?,Staff member Janessa Sawayn ka kya doobthi hai?,kya Janessa Sawayn ki staff member ke liye doobthi hai?,"SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";"
student_transcripts_tracking,Show the date and id of the transcript with at least 2 course results.,Show the date aur id of the transcript jismein tabdeel 2 course results hain.,Show the date aur id of the transcript jo mein 2 course results hain.,Show the date aur id of the transcript jisme 2 course results hain.,"SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id HAVING count(*)  >=  2"
music_1,Find the id of the song that lasts the longest.,Find the id of the song jisme duration sabse zyada hai,दिले गए संगीत का आईडी जो सबसे लंबा रहता है,find the id of the song jo duration sabse zyada hai,SELECT f_id FROM files ORDER BY duration DESC LIMIT 1
voter_2,Find the first and last names of all the female (sex is F) students who have president votes.,Find the first and last names of all the female students jaise sex F hain jo president votes de gaye hain.,Find the first and last names of all the female (sex F) students jaise president votes de gaye hain.,Find the first and last names of all the female (sex is F) students jaise president votes de gaye hain.,"SELECT DISTINCT T1.Fname ,  T1.LName FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.StuID  =  T2.President_VOTE WHERE T1.sex  =  ""F"
railway,"Show the builder of railways associated with the trains named ""Andaman Exp"".",Show the railway builder jo Andaman Exp ka train hai,Andaman Exp ka train ka railway builder dikhao,show the railway builder of trains named Andaman Exp ki jaani ke,"SELECT T1.Builder FROM railway AS T1 JOIN train AS T2 ON T1.Railway_ID  =  T2.Railway_ID WHERE T2.Name  =  ""Andaman Exp"
behavior_monitoring,"What is the zip code of the address where the teacher with first name ""Lyla"" lives?",What is the pin code of the address jo teacher first name 'Lyla' ke liye hai?,Teacher first name 'Lyla' ka address ka pin code kya hai?,Kya pata chalta hai ki teacher first name 'Lyla' ka address ka pin code kya hai?,"SELECT T1.zip_postcode FROM Addresses AS T1 JOIN Teachers AS T2 ON T1.address_id  =  T2.address_id WHERE T2.first_name  =  ""Lyla"
car_1,What is the number of cars with more than 4 cylinders?,What is the number of cars with more than 4 सिलिंडर?,कारों में से उस संख्या क्या है जिनमें से 4 सिलिंडर से अधिक है?,"कारों में से जिनमें से 4 सिलिंडर से अधिक है, �",SELECT count(*) FROM CARS_DATA WHERE Cylinders  >  4;
customer_complaints,"What are the last names of staff with email addressed containing the substring ""wrau""?",What are the last names of staff with email addressed containing the substring 'wrau'?,Kya staff jaise pehle name ka list hai jo email address mein 'wrau' substring ka use karte hain?,Kyā staff jaise pehle name ka list karo jo email address mein 'wrau' substring ka use karte hain?,"SELECT last_name FROM staff WHERE email_address LIKE ""%wrau%"
wine_1,List the names of all distinct wines in alphabetical order.,List the names of all distinct wines in alphabetical order.,Distinct vino ka naam list karo abhiram se zyada yaad karne waale order mein.,List karo sabhi vino ka naam alphabet ke tareke se.,SELECT DISTINCT Name FROM WINE ORDER BY Name
game_1,What is the first name and last name of the student who have most number of sports?,What is the first name aur last name of the student jo sports mein sabse zyada kaam karte hai?,"Kya student jo sports mein maximum players kar lete hain, unki first name aur last name kya hain?","Kyaa student jo sports mein zyada players karate hain, unki first name aur last name kya hain?","SELECT T2.Fname ,  T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID GROUP BY T1.StuID ORDER BY count(*) DESC LIMIT 1"
club_1,"How many members of club ""Bootup Baltimore"" are younger than 18?",How many members of club Bootup Baltimore हैं जो कि 18 से कम उम्र के?,Club Bootup Baltimore ka kitne members 18 se nachee ke hain?,Kitne members club Bootup Baltimore mein hain jo 18 se nachee hain?,"SELECT count(*) FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t1.clubname  =  ""Bootup Baltimore"" AND t3.age  <  18"
insurance_and_eClaims,Which type of policy is most frequently used? Give me the policy type code.,Which type of policy ka code kya jyada use hota hai?,Jyada use hونे wala policy ka code kya hai?,Jyada use hone wala policy ka code kya hai?,SELECT policy_type_code FROM policies GROUP BY policy_type_code ORDER BY count(*) DESC LIMIT 1
coffee_shop,Which membership card has more than 5 members?,Which membership card ke ander 5 members se zyada hain?,"Membership card jo 5 se zyada members ka hai, wahi kya?","Kya jo membership card mein 5 se zyada members hain, uska name kya hai?",SELECT Membership_card FROM member GROUP BY Membership_card HAVING count(*)  >  5
tracking_grants_for_research,What is the id of the organization with the maximum number of outcomes and how many outcomes are there?,What is the id of the organization with the maximum number of outcomes and how many outcomes are there?,Id kya hai us organization ka jo sabse zyada outcomes milaye hai aur unme kitne outcomes hain?,Id kya hai us organization ka jo maximum outcomes daal rahi hai aur unme kitne outcomes hain?,"SELECT T1.organisation_id ,  count(*) FROM Projects AS T1 JOIN Project_outcomes AS T2 ON T1.project_id  =  T2.project_id GROUP BY T1.organisation_id ORDER BY count(*) DESC LIMIT 1"
hr_1,"What are the full name, hire date, salary, and department id for employees without the letter M in their first name?","What are the complete name, hire date, salary, and department id of employees jaise first name mein letter 'M' nahi hai?","Kya apne first name mein letter 'M' nahi huye employees ka complete name, hire date, salary aur department id chahiye?","Kyā aapki first name mein letter 'M' nahi huye employees ka complete name, hire date, salary aur department id pata chale?","SELECT first_name ,  last_name ,  hire_date ,  salary ,  department_id FROM employees WHERE first_name NOT LIKE '%M%"
storm_record,"Show all storm names affecting region ""Denmark"".",Show all storm names affecting region Denmark,देनमार्क क्षेत्र पर प्रभावित सभी स्टोरम के नाम दिखा,denmark kya region par affected hain unke sabhi storm ka naam show karo,SELECT T3.name FROM affected_region AS T1 JOIN region AS T2 ON T1.region_id  =  T2.region_id JOIN storm AS T3 ON T1.storm_id  =  T3.storm_id WHERE T2.region_name  =  'Denmark
medicine_enzyme_interaction,"What are the distinct name, location and products of the enzymes which has any 'inhibitor' interaction?","What are the distinct name, location aur products of the enzymes jo kisi 'inhibitor' interaction ka rukavat hain?","Kya enzymes jo kisi 'inhibitor' ke saath interact karte hain, unki distinct name, location aur products kya hain?","Kyi enzymes jiska kisi 'inhibitor' ki interaction hain, unki distinct name, location aur products kyun nahi pata?","SELECT DISTINCT T1.name ,  T1.location ,  T1.product FROM enzyme AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.enzyme_id  =  T1.id WHERE T2.interaction_type  =  'inhibitor"
